,open,high,low,close,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,MACD_signal,BB_Middle,BB_Upper,BB_Lower,OBV,H-L,H-PC,L-PC,TR,ATR,ROC,Momentum,Std_Dev,future
3404,1360.15,1360.9,1352.15,1359.3,1329.1416666666667,1319.4131944444443,1329.1900305694783,1309.5943333604068,64.58557588805161,19.59569720907143,19.64099725601281,1329.1416666666667,1350.8239108836915,1307.4594224496418,-192841490.0,8.75,0.900000000000091,7.849999999999909,8.75,10.402777777777809,0.029772727272727284,39.299999999999955,10.841122108512426,0.0
3405,1359.4,1360.0,1343.05,1343.85,1329.7486111111111,1319.9805555555556,1329.9824613495064,1310.5328447751901,49.05968928863444,19.449616574316224,19.602721119673493,1329.7486111111111,1351.8279936867552,1307.669228535467,-193835574.0,16.950000000000045,0.7000000000000455,16.25,16.950000000000045,10.623611111111144,0.016527987897125396,21.84999999999991,11.039691287822063,0.0
3406,1343.55,1347.75,1332.05,1336.65,1330.0875,1320.3354166666666,1330.3428688441277,1311.2483832745002,53.71530886302604,19.094485569627523,19.5010740096643,1330.0875,1352.2067530873874,1307.9682469126128,-194967361.0,15.700000000000045,3.900000000000091,11.799999999999955,15.700000000000045,10.91944444444448,0.009211370757673087,12.200000000000045,11.05962654369369,0.0
3407,1336.7,1338.0,1326.6,1330.6,1330.2763888888887,1320.4736111111113,1330.356767825526,1311.7785645546508,50.50505050505043,18.578203270875292,19.3164998619065,1330.2763888888887,1352.290624362625,1308.2621534151524,-196197681.0,11.400000000000091,1.349999999999909,10.050000000000182,11.400000000000091,11.127777777777814,0.005136727602356839,6.7999999999999545,11.00711773686817,0.0
3408,1330.95,1338.25,1329.0,1329.0,1330.6930555555555,1320.6958333333334,1330.2834290241462,1312.2503847038383,42.75161588180988,18.03304432030791,19.059808753586783,1330.6930555555555,1351.9961492648824,1309.3899618462285,-197512982.0,9.25,7.650000000000091,1.599999999999909,9.25,10.98194444444448,0.011415525114155223,15.0,10.651546854663522,0.0
3409,1329.05,1338.0,1328.15,1337.95,1331.3125,1321.101388888889,1330.6978382660843,1312.9544837530482,22.403003754693458,17.743354513036138,18.796517905476655,1331.3125,1352.1067213813897,1310.5182786186103,-196133496.0,9.849999999999909,9.0,0.849999999999909,9.849999999999909,11.105555555555586,0.01694979667844798,22.299999999999955,10.3971106906948,0.0
3410,1337.6,1337.6,1329.25,1331.0,1331.7847222222222,1321.3659722222224,1330.7141713327826,1313.4488814584442,19.372294372294448,17.26528987433835,18.490272299248993,1331.7847222222222,1351.7155858612607,1311.8538585831836,-197588223.0,8.349999999999909,0.3500000000001364,8.700000000000045,8.700000000000045,11.234722222222254,0.012937595129375978,17.0,9.965431819519226,0.0
3411,1331.65,1340.25,1331.65,1339.0,1332.4180555555556,1321.7291666666667,1331.162053963443,1314.1489121034185,43.74193548387108,17.01314186002446,18.194846211404087,1332.4180555555556,1351.7514633961644,1313.0846477149469,-196082063.0,8.599999999999909,9.25,0.650000000000091,9.25,11.384722222222251,0.017322595350250714,22.799999999999955,9.66670392030433,0.0
3412,1339.15,1339.25,1322.35,1324.95,1332.648611111111,1321.9909722222221,1330.8262672627163,1314.4448323197632,37.17105263157894,16.381434942953092,17.832163957713888,1332.648611111111,1351.3975003904127,1313.8997218318093,-197691550.0,16.90000000000009,0.25,16.65000000000009,16.90000000000009,11.690277777777807,0.006303877264269175,8.299999999999955,9.374444639650791,0.0
3413,1325.0,1328.95,1311.35,1321.25,1332.822222222222,1322.2458333333334,1330.3086311944614,1314.6312752699068,39.19075144508681,15.677355924554604,17.401202351082034,1332.822222222222,1351.005973908769,1314.6384705356752,-199421122.0,17.600000000000136,4.0,13.600000000000136,17.600000000000136,12.108333333333361,0.004752851711026684,6.25,9.091875843273405,0.0
